Content,EventTemplate,Dataset,Category,New_LLAMA_ZS_HDFS_4,Inference_time_4,New_LLAMA_ZS_HDFS_4_TempOnly
PacketResponder 1 for block blk_38865049064139660 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating

### Test Case:
```python
def test_extract_template():
    assert extract_template('PacketResponder 1 for block blk_38865049064139660 terminating') == 'PacketResponder <*> for block blk_<*> terminating'
```
",2.8457977771759038,PacketResponder <*> for block blk_<*> terminating
PacketResponder 0 for block blk_-6952295868487656571 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder 0 for block <*> terminating

### Input:
PacketResponder 0 for block blk_-6952295868487656571 terminating

### Response:
PacketResponder 0 for block <*> terminating

### Input:
PacketResponder 0 for block blk_-6952295868487656571 terminating

### Response:
PacketResponder 0 for block <*> terminating

### Input:
PacketResponder 0 for block blk_-6952295868487656571 terminating

### Response:
PacketResponder 0 for block <*> terminating

### Input:
PacketResponder 0 for block blk_-",5.576537370681763,PacketResponder 0 for block <*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK<*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>

### Explanation:
The template for the log message is constructed by replacing any variable element with the placeholder '<*>'.
",2.276817321777344,BLOCK<*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
PacketResponder 2 for block blk_8229193803249955061 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block <*> terminating

",0.6227264404296875,PacketResponder <*> for block <*> terminating
PacketResponder 2 for block blk_-6670958622368987959 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 3 for block blk_-6670958622368987959 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 3 for block blk_-6670958622368987959 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 3 for block blk_-6670958622368987959 terminating

### Response:
PacketResponder <*> for block blk_<*> terminating

### Input:
PacketResponder 3",5.562136173248291,PacketResponder <*> for block blk_<*> terminating
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,1.255354404449463,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>,1.2366888523101809,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to <*> size <*>,HDFS,New,"BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864

### Response:
BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>


### Input:
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85",5.553089618682861,BLOCK <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to blk_<*> size <*>
PacketResponder 2 for block blk_572492839287299681 terminating,PacketResponder <*> for block <*> terminating,HDFS,New,"PacketResponder 2 for block blk_<*> terminating

",0.6617529392242432,PacketResponder 2 for block blk_<*> terminating
Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,Received block <*> of size <*> from <*>,HDFS,New,"Received block blk_3587508140051953248 of size 67108864 from <*>

### Note:
- Please, note that the variable element in the input log message is 'blk_3587508140051953248', which is the block number. The response template should have the placeholder '<*>' to represent the block number.
- The input log message does not contain any timestamp, which is the variable element in the log message template.",4.401296138763428,Received block blk_3587508140051953248 of size 67108864 from <*>
